id;articul;category_path;name;txt;price;price_min;price_max;discount_formula;hide;recom;flag;to_xml;installation;gift_articul;gift_end_date;admin;p_tip;p_vid;p_svetovoj_potok;p_sila_toka;p_visota_plafona;p_srok_garantii;p_forma;p_koefficient_moschnosti;p_srok_sluzhbi;p_tip_rasseivatelya;p_ugol_osvescheniya;p_ekvivalentnaya_moschnost;p_cvet_plafona;p_cvet_osnovi;p_geometriya;p_visota;p_shirina;p_diametr;p_dlina;p_glubina;p_glubina_vrezki;p_diametr_vrezki;p_kolichestvo_lamp;p_moschnost_odnoj_lampi;p_tip_cokolya;p_stepen_vlagozaschiti;p_komplektnost_lampi;p_seriya;p_cvetovaya_temperatura;p_material_plafona;p_material_osnovi;p_srok_dostavki;p_proizvoditel
6680;Nowodvorski_4476;"Внутреннее освещение/Люстры";"Nowodvorski 4476 Sari";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>4476</span></div><div><label>Источник света:</label> <span>E27</span></div><div><label>Количество источников света:</label> <span>3</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""width"">60cm</span><br /> <span class=""height"">85cm</span><br /> </span></div></div>";2102;1681;2102;25;0;0;0;0;45;;00.00.0000;;"Подвесные;Современные";Люстры;;;;;;;;;;;;;;85;60;;60;;;;3;;;IP20;;Sari;;Стекло;;"2-4 недели";"Nowodvorski (Польша)"
6681;Nowodvorski_4477;"Внутреннее освещение/Люстры";"Nowodvorski 4477 Sari";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>4477</span></div><div><label>Источник света:</label> <span>E27</span></div><div><label>Количество источников света:</label> <span>4</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""width"">41cm</span><br /> <span class=""height"">85cm</span><br /> </span></div></div>";2756;2204;2618;7%ipN;0;0;0;0;0;;00.00.0000;;"Подвесные;Современные";Люстры;;;;;;;;;;;;;;85;41;;41;;;;4;;;IP20;;Sari;;Стекло;;"2-4 недели";"Nowodvorski (Польша)"
6695;Nowodvorski_4503;"Внутреннее освещение/Люстры";"Nowodvorski 4503 Ellice Black";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>4503</span></div><div><label>Источник света:</label> <span>E14</span></div><div><label>Количество источников света:</label> <span>3</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""height"">85cm</span><br /> <span class=""fi"">51cm</span><br /> </span></div></div>";2102;1681;1997;83;0;0;0;0;45;;00.00.0000;;"Подвесные;С абажуром";Люстры;;;;;;;;;;;;;;85;;51;;;;;3;;;IP20;;"Ellice Black";;Ткань;Металл;"2-4 недели";"Nowodvorski (Польша)"
6696;Nowodvorski_4504;"Внутреннее освещение/Люстры";"Nowodvorski 4504 Ellice Black";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>4504</span></div><div><label>Источник света:</label> <span>E14</span></div><div><label>Количество источников света:</label> <span>5</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""height"">85cm</span><br /> <span class=""fi"">60cm</span><br /> </span></div></div>";2857;2285;2857;2%ipN;0;0;0;0;0;;00.00.0000;;"Подвесные;С абажуром";Люстры;;;;;;;;;;;;;;85;;60;;;;;5;;;IP20;;"Ellice Black";;Ткань;Металл;"2-4 недели";"Nowodvorski (Польша)"
6699;Nowodvorski_4507;"Внутреннее освещение/Люстры";"Nowodvorski 4507 Ellice White";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>4507</span></div><div><label>Источник света:</label> <span>E14</span></div><div><label>Количество источников света:</label> <span>3</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""height"">85cm</span><br /> <span class=""fi"">51cm</span><br /> </span></div></div>";2102;1681;1997;8%;0;0;0;0;0;;00.00.0000;;"Подвесные;С абажуром";Люстры;;;;;;;;;;;;;;85;;51;;;;;3;;;IP20;;"Ellice White";;Ткань;Металл;"2-4 недели";"Nowodvorski (Польша)"
6700;Nowodvorski_4508;"Внутреннее освещение/Люстры";"Nowodvorski 4508 Ellice White";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>4508</span></div><div><label>Источник света:</label> <span>E14</span></div><div><label>Количество источников света:</label> <span>5</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""height"">85cm</span><br /> <span class=""fi"">60cm</span><br /> </span></div></div>";2857;2285;2857;;0;0;0;0;0;;00.00.0000;;"Подвесные;С абажуром";Люстры;;;;;;;;;;;;;;85;;60;;;;;5;;;IP20;;"Ellice White";;Ткань;Металл;"2-4 недели";"Nowodvorski (Польша)"
6703;Nowodvorski_4513;"Внутреннее освещение/Люстры";"Nowodvorski 4513 Nathalie Black";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>4513</span></div><div><label>Источник света:</label> <span>E14</span></div><div><label>Количество источников света:</label> <span>3</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""height"">85cm</span><br /> <span class=""fi"">51cm</span><br /> </span></div></div>";2682;2145;2547;132N;0;0;0;0;0;;00.00.0000;;"Подвесные;Современные";Люстры;;;;;;;;;;;;;;85;;51;;;;;3;;;IP20;;"Nathalie Black";;Ткань;Металл;"2-4 недели";"Nowodvorski (Польша)"
6704;Nowodvorski_4514;"Внутреннее освещение/Люстры";"Nowodvorski 4514 Nathalie Black";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>4514</span></div><div><label>Источник света:</label> <span>E14</span></div><div><label>Количество источников света:</label> <span>5</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""height"">85cm</span><br /> <span class=""fi"">60cm</span><br /> </span></div></div>";3602;2881;3421;;0;0;0;0;0;;00.00.0000;;"Подвесные;Современные";Люстры;;;;;;;;;;;;;;85;;60;;;;;5;;;IP20;;"Nathalie Black";;Ткань;Металл;"2-4 недели";"Nowodvorski (Польша)"
6707;Nowodvorski_4518;"Внутреннее освещение/Люстры";"Nowodvorski 4518 Nathalie White";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>4518</span></div><div><label>Источник света:</label> <span>E14</span></div><div><label>Количество источников света:</label> <span>3</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""height"">85cm</span><br /> <span class=""fi"">51cm</span><br /> </span></div></div>";2684;2147;2684;;0;0;0;0;45;;00.00.0000;;"Подвесные;Современные";Люстры;;;;;;;;;;;;;;85;;51;;;;;3;;;IP20;;"Nathalie White";;Ткань;Металл;"2-4 недели";"Nowodvorski (Польша)"
6708;Nowodvorski_4520;"Внутреннее освещение/Люстры";"Nowodvorski 4520 Nathalie White";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>4520</span></div><div><label>Источник света:</label> <span>E14</span></div><div><label>Количество источников света:</label> <span>5</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""height"">85cm</span><br /> <span class=""fi"">60cm</span><br /> </span></div></div>";3603;2882;3423;;0;0;0;0;45;;00.00.0000;;"Подвесные;Современные";Люстры;;;;;;;;;;;;;;85;;60;;;;;5;;;IP20;;"Nathalie White";;Ткань;Металл;"2-4 недели";"Nowodvorski (Польша)"
6730;Nowodvorski_4561;"Внутреннее освещение/Люстры";"Nowodvorski 4561 Fresco";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>4561</span></div><div><label>Источник света:</label> <span>E14</span></div><div><label>Количество источников света:</label> <span>3</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""height"">80cm</span><br /> <span class=""fi"">65cm</span><br /> </span></div></div>";1374;1099;1305;66ip;0;0;0;0;0;;00.00.0000;;"Классические;Недорогие;Подвесные";Люстры;;;;;;;;;;;;;;110;;65;;;;;3;;;IP20;;Fresco;;;Металл;"2-4 недели";"Nowodvorski (Польша)"
6731;Nowodvorski_4562;"Внутреннее освещение/Люстры";"Nowodvorski 4562 Fresco";"<div class=""nowodvorski-product-detail""><div><label>Номер в каталоге:</label> <span>4562</span></div><div><label>Источник света:</label> <span>E14</span></div><div><label>Количество источников света:</label> <span>5</span></div><div><label>Мощность:</label> <span>60W</span></div><div><label>Источник света:</label> <span>не содержит</span></div><div><label>Степень защиты:</label> <span>IP20</span></div><div><label>Размеры :</label> <span> <span class=""height"">80cm</span><br /> <span class=""fi"">65cm</span><br /> </span></div></div>";1838;1470;1838;;0;0;0;0;45;;00.00.0000;;"Классические;Подвесные";Люстры;;;;;;;;;;;;;;110;;65;;;;;5;;;IP20;;Fresco;;;Металл;"2-4 недели";"Nowodvorski (Польша)"
