articul;category_path;name;txt;price;price_min;price_max;discount_formula;installation;gift_articul;gift_end_date;p_tip;p_vid;p_svetovoj_potok;p_sila_toka;p_visota_plafona;p_srok_garantii;p_forma;p_koefficient_moschnosti;p_srok_sluzhbi;p_tip_rasseivatelya;p_ugol_osvescheniya;p_ekvivalentnaya_moschnost;p_cvet_plafona;p_cvet_osnovi;p_geometriya;p_visota;p_shirina;p_diametr;p_dlina;p_glubina;p_glubina_vrezki;p_diametr_vrezki;p_kolichestvo_lamp;p_moschnost_odnoj_lampi;p_tip_cokolya;p_stepen_vlagozaschiti;p_komplektnost_lampi;p_seriya;p_cvetovaya_temperatura;p_material_plafona;p_material_osnovi;p_srok_dostavki;p_proizvoditel
Alfa_12733;"Внутреннее освещение/Люстры";"Alfa 12733 Diamante";"<p>Диаметр: 750 mm<br /> Высота: 750 mm<br /> 3 x E27 max 60W</p>";2984,69;2387,75;2984,69;;45;;;"Классические;Подвесные";Люстры;;;;;;;;;;;;;;75;;75;75;;;;3;;;IP20;;Diamante;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_12735;"Внутреннее освещение/Люстры";"Alfa 12735 Diamante";"<p>Диаметр: 750 mm<br /> Высота: 750 mm<br /> 5 x E27 max 60W</p>";3926,66;3141,33;3926,66;137N;45;;;"Классические;Подвесные";Люстры;;;;;;;;;;;;;;75;;75;75;;;;5;;;IP20;;Diamante;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
Alfa_13141;"Внутреннее освещение/Люстры";"Alfa 13141 Genua";"<p>Диаметр: 200 mm<br /> Высота: 340 mm<br /> 1 x E14 max 40W</p>";994,9;795,92;994,9;5%;45;Nowodvorski_6895;2016-11-01;"Потолочные;Современные";Люстры;;;;;;;;;;;;;;34;;;20;;;;1;;;IP20;;Genua;;Стекло;Дерево;"4-6 недели";"Alfa (Польша)"
Alfa_13142;"Внутреннее освещение/Люстры";"Alfa 13142 Genua";"<p>Диаметр: 360 mm<br /> Высота: 340 mm<br /> 2 x E14 max 40W</p>";1428,84;1143,07;1357,4;;45;Nowodvorski_6895;2016-11-01;"Потолочные;Современные";Люстры;;;;;;;;;;;;;;34;;;36;;;;2;;;IP20;;Genua;;Стекло;Дерево;"4-6 недели";"Alfa (Польша)"
Alfa_13143;"Внутреннее освещение/Люстры";"Alfa 13143 Genua";"<p>Диаметр: 505 mm<br /> Высота: 340 mm<br /> 3 x E14 max 40W</p>";1820,45;1456,36;1729,43;;;;;"Потолочные;Современные";Люстры;;;;;;;;;;;;;;34;;;50,5;;;;3;;;IP20;;Genua;;Стекло;Дерево;"4-6 недели";"Alfa (Польша)"
Alfa_13153;"Внутреннее освещение/Люстры";"Alfa 13153 Palmira black";"<p>Диаметр: 540 mm<br /> Высота: 760 mm<br /> 3 x E14 max 40W</p>";2487,24;1989,79;2487,24;105ip;45;;;"Подвесные;Свечи";Люстры;;;;;;;;;;;;;;76;;54;54;;;;3;;;IP20;;"Palmira black";;;;"4-6 недели";"Alfa (Польша)"
Alfa_13155;"Внутреннее освещение/Люстры";"Alfa 13155 Palmira black";"<p>Диаметр: 540 mm<br /> Высота: 760 mm<br /> 5 x E14 max 40W</p>";3344,54;2675,63;3344,54;6%;45;;;"Подвесные;Свечи";Люстры;;;;;;;;;;;;;;76;;54;54;;;;5;;;IP20;;"Palmira black";;;;"4-6 недели";"Alfa (Польша)"
Alfa_13253;"Внутреннее освещение/Люстры";"Alfa 13253 Paulinka venge";"<p>Диаметр: 560 mm<br /> Высота: 430 mm<br /> 3 x E27 max 60W</p>";1481,76;1185,41;1481,76;6%;;;;"Потолочные;Современные";Люстры;;;;;;;;;;;;;;43;;56;56;;;;3;;;IP20;;"Paulinka venge";;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_13255;"Внутреннее освещение/Люстры";"Alfa 13255 Paulinka venge";"<p>Диаметр: 560 mm<br /> Высота: 430 mm<br /> 5 x E27 max 60W</p>";1799,28;1439,42;1799,28;;;Nowodvorski_6895;2016-11-01;"Потолочные;Современные";Люстры;;;;;;;;;;;;;;43;;56;56;;;;5;;;IP20;;"Paulinka venge";;Стекло;;"4-6 недели";"Alfa (Польша)"
Alfa_13302;"Внутреннее освещение/Люстры";"Alfa 13302 Chrome";"<p>Диаметр: 550 mm<br /> Высота: 270 mm<br /> 2 x E14 max 40W</p>";1121,9;897,52;1065,81;47ip;;;;"Потолочные;Современные";Люстры;;;;;;;;;;;;;;27;55;;55;;;;2;;;IP20;;Chrome;;Стекло;Металл;"4-6 недели";"Alfa (Польша)"
